message,subject,complaint_text,intent,category
Try to resolve as soon as possible,,Try to resolve as soon as possible,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
The way to talk of customer excutive was very polite,,The way to talk of customer excutive was very polite,Missing,PRODUCT_ISSUE
Thanks,,Thanks,Fraudulent User,SECURITY_CONCERN
Thank you,,Thank you,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
My Query not listen,,My Query not listen,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
All good,,All good,UnProfessional Behaviour,SERVICE_QUALITY
I hope it will be more trustable to shop on Shopzilla,,I hope it will be more trustable to shop on Shopzilla,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Not resolved,,Not resolved,Signup Issues,ACCOUNT_LOGIN_PROBLEM
Calling me,,Calling me,Product Specific Information,PRODUCT_ISSUE
Nice product thankyou Shopzilla ????,,Nice product thankyou Shopzilla ????,Return request,REFUND_REQUEST
"Pls provide all information about the product size and specification, even it is small, because in photo it is difficult to judge the original size an customer confuse",,"Pls provide all information about the product size and specification, even it is small, because in photo it is difficult to judge the original size an customer confuse",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Signup Issues,ACCOUNT_LOGIN_PROBLEM
Please take action against third party sellers who are sending wrong items or not sending items at all,,Please take action against third party sellers who are sending wrong items or not sending items at all,Missing,PRODUCT_ISSUE
Good,,Good,Service Centres Related,SERVICE_QUALITY
Good,,Good,Refund Enquiry,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Damage Product Provide.. Not Solved Problem,,Damage Product Provide.. Not Solved Problem,Installation/demo,PRODUCT_ISSUE
Vary good,,Vary good,Wrong,PRODUCT_ISSUE
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Super,,Super,Signup Issues,ACCOUNT_LOGIN_PROBLEM
Thank you,,Thank you,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Good manners nd she treats me very beautifully ??????,,Good manners nd she treats me very beautifully ??????,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
"When some electronic item stops working after the official return back period , Shopzilla should ensure to share the items manufacturers details and contact number /address , and help resolve the issue when the said device is within the warranty period Regards",,"When some electronic item stops working after the official return back period , Shopzilla should ensure to share the items manufacturers details and contact number /address , and help resolve the issue when the said device is within the warranty period Regards",Installation/demo,PRODUCT_ISSUE
Excellent,,Excellent,Refund Enquiry,REFUND_REQUEST
Mera odar return nahi ho rha mujko mobile pasand nahi hai mujko refund chahiye,,Mera odar return nahi ho rha mujko mobile pasand nahi hai mujko refund chahiye,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Customer executive was polite and skillful but I'm really not very disappointed with Shopzilla sellers and their post delivery service.,,Customer executive was polite and skillful but I'm really not very disappointed with Shopzilla sellers and their post delivery service.,Account updation,ACCOUNT_LOGIN_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Due to not interested my concern and not resolve my problem.,,Due to not interested my concern and not resolve my problem.,Delayed,DELIVERY_SHIPPING_PROBLEM
Your customer care is too good,,Your customer care is too good,Technician Visit,PRODUCT_ISSUE
Please resolve our problem,,Please resolve our problem,Delayed,DELIVERY_SHIPPING_PROBLEM
Very excellent,,Very excellent,Missing,PRODUCT_ISSUE
No,,No,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks keep supporting,,Thanks keep supporting,Product Specific Information,PRODUCT_ISSUE
???? ?????,,???? ?????,Invoice request,BILLING_PROBLEM
Please ensure customer complaints,,Please ensure customer complaints,Refund Enquiry,REFUND_REQUEST
I am happy,,I am happy,Return request,REFUND_REQUEST
Very good,,Very good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Sellers always send fake or duplicate product.... Please take action in this situation,,Sellers always send fake or duplicate product.... Please take action in this situation,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Prepaid ordered are being misused by delivery partners ..please have a glance over it ...and take severe act upon it,,Prepaid ordered are being misused by delivery partners ..please have a glance over it ...and take severe act upon it,Delayed,DELIVERY_SHIPPING_PROBLEM
????????,,????????,Refund Related Issues,REFUND_REQUEST
Good executive,,Good executive,Return request,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Not Needed,REFUND_REQUEST
Very good,,Very good,Invoice request,BILLING_PROBLEM
Good experience to talk,,Good experience to talk,Installation/demo,PRODUCT_ISSUE
Nice,,Nice,UnProfessional Behaviour,SERVICE_QUALITY
Pickup and delivery address changeable.,,Pickup and delivery address changeable.,Product Specific Information,PRODUCT_ISSUE
na,,na,Priority delivery,DELIVERY_SHIPPING_PROBLEM
Good communication,,Good communication,Return request,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Since my issue was regarding missing accessory ( carry bag) which was supposed to be inside the box with tyre inflator. However, for this issue, customer support person suggested complete product replacement which is not required as it will further delay my usage of the device apart from additional logistics /costs.Hence suggestion is to only send missing part to customer which can be easy and fast solution.",,"Since my issue was regarding missing accessory ( carry bag) which was supposed to be inside the box with tyre inflator. However, for this issue, customer support person suggested complete product replacement which is not required as it will further delay my usage of the device apart from additional logistics /costs.Hence suggestion is to only send missing part to customer which can be easy and fast solution.",Fraudulent User,SECURITY_CONCERN
Nothing,,Nothing,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good work ????????????????????????,,Good work ????????????????????????,Not Needed,REFUND_REQUEST
"The customer support executive spoke well I liked it, the conversation was good, and thanks for helping me, I waited for it since 2 days..",,"The customer support executive spoke well I liked it, the conversation was good, and thanks for helping me, I waited for it since 2 days..",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
All things are good and perfect..Shopzilla doing good service..But many of the area's are delivery late this is only one problem that's sitNothing any problem apart from this..,,All things are good and perfect..Shopzilla doing good service..But many of the area's are delivery late this is only one problem that's sitNothing any problem apart from this..,Customer Requested Modifications,DELIVERY_SHIPPING_PROBLEM
My one month old problem I have regular talk Shopzilla executive but my problem not solve,,My one month old problem I have regular talk Shopzilla executive but my problem not solve,Online Payment Issues,PAYMENT_TRANSACTION_ISSUE
Nice,,Nice,Return request,REFUND_REQUEST
", information",,", information",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
The customer executive who talked to me was phenomenal and helpful in every manner.,,The customer executive who talked to me was phenomenal and helpful in every manner.,Return request,REFUND_REQUEST
Reduce time to solve querries,,Reduce time to solve querries,Other Cashback,PAYMENT_TRANSACTION_ISSUE
??,,??,Priority delivery,DELIVERY_SHIPPING_PROBLEM
thanks,,thanks,Installation/demo,PRODUCT_ISSUE
Very poor service of Shopzilla customer service no proper information given and no solution of our problems.Shopzilla totally waste of time and money,,Very poor service of Shopzilla customer service no proper information given and no solution of our problems.Shopzilla totally waste of time and money,Fraudulent User,SECURITY_CONCERN
Not having a intention to resolved the complaint,,Not having a intention to resolved the complaint,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Your executives are so shit that next time I will not place any orders. Product was not delivered no one is responsible.. It is shit service,,Your executives are so shit that next time I will not place any orders. Product was not delivered no one is responsible.. It is shit service,Product Specific Information,PRODUCT_ISSUE
Match prices to resend the product in fresh order in case old order is cancelled by the seller with non delivery,,Match prices to resend the product in fresh order in case old order is cancelled by the seller with non delivery,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"I'm Satisfied About His Service??????????, Well Done Brother ?? ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",,"I'm Satisfied About His Service??????????, Well Done Brother ?? ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",Refund Enquiry,REFUND_REQUEST
All Good,,All Good,Product Specific Information,PRODUCT_ISSUE
Good job,,Good job,Service Centres Related,SERVICE_QUALITY
"I still not satisfied with my query, I still not got my refund  amount , it's been 17 days",,"I still not satisfied with my query, I still not got my refund amount , it's been 17 days",Exchange / Replacement,PRODUCT_ISSUE
"Taniya is really very helpful,polive and efficient. She resolved my issues quickly.I hope she will continue her good work.",,"Taniya is really very helpful,polive and efficient. She resolved my issues quickly.I hope she will continue her good work.",Return request,REFUND_REQUEST
Thank you,,Thank you,Fraudulent User,SECURITY_CONCERN
Give more offers in grocery,,Give more offers in grocery,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nothing,,Nothing,Refund Enquiry,REFUND_REQUEST
Please aise he kam kerthe rhuna aap,,Please aise he kam kerthe rhuna aap,Other Cashback,PAYMENT_TRANSACTION_ISSUE
thank you mehak mam,,thank you mehak mam,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Service Centres Related,SERVICE_QUALITY
Good service,,Good service,Wrong,PRODUCT_ISSUE
Easy and to reach out merchant,,Easy and to reach out merchant,Wrong,PRODUCT_ISSUE
Really poor experience.  No updates for a 50k product bought. Delayed beyond slas.,,Really poor experience. No updates for a 50k product bought. Delayed beyond slas.,Delayed,DELIVERY_SHIPPING_PROBLEM
Worst app full of frauds.,,Worst app full of frauds.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
ThankYou,,ThankYou,Customer Requested Modifications,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Missing,PRODUCT_ISSUE
Nice talking with her she is very good she is really help me,,Nice talking with her she is very good she is really help me,Return request,REFUND_REQUEST
I want to return my product only.,,I want to return my product only.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Hygiene related porduct delivered in torn packaging and even product is damaged still you are saying product is under no return policy. You mean to say that whatever product we receive in whatever condition we have to live with it as it is under no return policy. This is my first worst experience with Shopzilla and the worst i had with any other Ecommerce site.,,Hygiene related porduct delivered in torn packaging and even product is damaged still you are saying product is under no return policy. You mean to say that whatever product we receive in whatever condition we have to live with it as it is under no return policy. This is my first worst experience with Shopzilla and the worst i had with any other Ecommerce site.,Return request,REFUND_REQUEST
Good service,,Good service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Am option to call customer executive can be made available against each order,,Am option to call customer executive can be made available against each order,Unable to track,DELIVERY_SHIPPING_PROBLEM
Customer care executive was very very polite and helpful.. he also addressed my issue very effectively!,,Customer care executive was very very polite and helpful.. he also addressed my issue very effectively!,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Return request,REFUND_REQUEST
Delivery products on time,,Delivery products on time,Delayed,DELIVERY_SHIPPING_PROBLEM
Please return my order zebronic homethrather,,Please return my order zebronic homethrather,UnProfessional Behaviour,SERVICE_QUALITY
Good person,,Good person,Return request,REFUND_REQUEST
Very good,,Very good,Wallet related,PAYMENT_TRANSACTION_ISSUE
Good service,,Good service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Excellence,,Excellence,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
I request for related to product. Kindly arrange same product delivered to customers which is ordered. Why you wasted time of customers.,,I request for related to product. Kindly arrange same product delivered to customers which is ordered. Why you wasted time of customers.,Refund Enquiry,REFUND_REQUEST
Nice,,Nice,Delayed,DELIVERY_SHIPPING_PROBLEM
Nothing but deliver the product in right time for atleast plus premium member...and,,Nothing but deliver the product in right time for atleast plus premium member...and,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Fraudulent User,SECURITY_CONCERN
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
When I spoke to customer care before it's showing me 20 of aug after speak to him now it's showing 22 of august dnt knw he solve my issue r create more issue  and dnt understood what   telling if I dnt get by tomorrow r 22nd I will cancel the order and I will uninstall the app bcz it's getting many times to mew,,When I spoke to customer care before it's showing me 20 of aug after speak to him now it's showing 22 of august dnt knw he solve my issue r create more issue and dnt understood what telling if I dnt get by tomorrow r 22nd I will cancel the order and I will uninstall the app bcz it's getting many times to mew,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Chutiya app koi bi isse order mat karo,,Chutiya app koi bi isse order mat karo,UnProfessional Behaviour,SERVICE_QUALITY
5,,5,Return request,REFUND_REQUEST
Good,,Good,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
is great in providing prompt resolution,,is great in providing prompt resolution,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Why do you get drunkards attend the call,,Why do you get drunkards attend the call,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Damaged,PRODUCT_ISSUE
Happy,,Happy,Return request,REFUND_REQUEST
Take action on your seller,,Take action on your seller,Return request,REFUND_REQUEST
Thanks,,Thanks,Product Specific Information,PRODUCT_ISSUE
Your Concern team is too bad ??.Please communicate your concern team to respond the complaint and resolve the problem of customers.,,Your Concern team is too bad ??.Please communicate your concern team to respond the complaint and resolve the problem of customers.,Refund Related Issues,REFUND_REQUEST
Good,,Good,Missing,PRODUCT_ISSUE
Customer care services very good sir ji,,Customer care services very good sir ji,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Not resolved any problem,,Not resolved any problem,Payment related Queries,PAYMENT_TRANSACTION_ISSUE
Good,,Good,Return request,REFUND_REQUEST
I like executive support ever,,I like executive support ever,Return request,REFUND_REQUEST
Thank you,,Thank you,Installation/demo,PRODUCT_ISSUE
Your Shopzilla is the worst services. User should get time slot to recieve delivery. While day gets waste if replacement order is cancelled.,,Your Shopzilla is the worst services. User should get time slot to recieve delivery. While day gets waste if replacement order is cancelled.,Not Needed,REFUND_REQUEST
Thank,,Thank,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Refund policy didn't not update,,Refund policy didn't not update,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Happy with the service,,Happy with the service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Understand with Shopzilla excutive,,Understand with Shopzilla excutive,Not Needed,REFUND_REQUEST
Reduce the time of the product problem issue with the costomer,,Reduce the time of the product problem issue with the costomer,Missing,PRODUCT_ISSUE
No,,No,General Enquiry,OTHER
Mera kismis 1kg ke jagah par 500gm,,Mera kismis 1kg ke jagah par 500gm,Damaged,PRODUCT_ISSUE
3rd class Shopzilla,,3rd class Shopzilla,Refund Related Issues,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Poor seevices,,Poor seevices,Not Needed,REFUND_REQUEST
Thanks ??,,Thanks ??,Missing,PRODUCT_ISSUE
Na,,Na,Delayed,DELIVERY_SHIPPING_PROBLEM
Super,,Super,Invoice request,BILLING_PROBLEM
Tough to reach you guys for a particular query.,,Tough to reach you guys for a particular query.,Payment related Queries,PAYMENT_TRANSACTION_ISSUE
It's ok,,It's ok,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Shopzilla grocery is worst experience. I ordered 22 items and these delivery guys deliver 19 out of it and as well act like it is 22 when you even count items and tell them it is 19 they will not listen and mark all order as delivered,,Shopzilla grocery is worst experience. I ordered 22 items and these delivery guys deliver 19 out of it and as well act like it is 22 when you even count items and tell them it is 19 they will not listen and mark all order as delivered,Fraudulent User,SECURITY_CONCERN
Good ??,,Good ??,Installation/demo,PRODUCT_ISSUE
Resolution not received.,,Resolution not received.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Deliver genuine products,,Deliver genuine products,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Provide solution and mail it to me,,Provide solution and mail it to me,Installation/demo,PRODUCT_ISSUE
Return issue,,Return issue,Product Specific Information,PRODUCT_ISSUE
Make all the executive to learn from him bcoz most of the executive are uneducated of your system,,Make all the executive to learn from him bcoz most of the executive are uneducated of your system,Service Centres Related,SERVICE_QUALITY
Please be on your word and ensure your delivery date worst experience of delivery full big 00 on your delivery trust everything,,Please be on your word and ensure your delivery date worst experience of delivery full big 00 on your delivery trust everything,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Communication with agent is good. Hope for the resolution now.,,Communication with agent is good. Hope for the resolution now.,Damaged,PRODUCT_ISSUE
Please make possible to return damaged and differenf items even on items with no-return policy....,,Please make possible to return damaged and differenf items even on items with no-return policy....,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"I ordered a new phone using exchange offer of old phone. Was given better exchange price than other sites and hence ordered on Shopzilla. On day of exchange, figured out what scam Shopzilla is using to sell their products.My old phone went through rigorous inspection by the delivery agent. He first damaged and removed my costly screen guard. Then checked phone every minute area. There was no issue and i was expecting this only as my phone was just a year old. Then to my surprise, he said my phone is bent out of no where. Was hard for me to accept this but he straight away said amount will be deducted for this defect of you want to still exchange for new phone.I have the video also on how he checked phone bent and will be escalating this.But ultimately I got same amount which other sites were giving. Shopzilla is just running a scam to boost sales. I am sure no one would have been able to get full exchange amount with the way their exchange policy is.Was completely fooled by them.",,"I ordered a new phone using exchange offer of old phone. Was given better exchange price than other sites and hence ordered on Shopzilla. On day of exchange, figured out what scam Shopzilla is using to sell their products.My old phone went through rigorous inspection by the delivery agent. He first damaged and removed my costly screen guard. Then checked phone every minute area. There was no issue and i was expecting this only as my phone was just a year old. Then to my surprise, he said my phone is bent out of no where. Was hard for me to accept this but he straight away said amount will be deducted for this defect of you want to still exchange for new phone.I have the video also on how he checked phone bent and will be escalating this.But ultimately I got same amount which other sites were giving. Shopzilla is just running a scam to boost sales. I am sure no one would have been able to get full exchange amount with the way their exchange policy is.Was completely fooled by them.",UnProfessional Behaviour,SERVICE_QUALITY
A1,,A1,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Please call me,,Please call me,General Enquiry,OTHER
Thanks for resolving  the issue and I hope it's fast..  bless:),,Thanks for resolving the issue and I hope it's fast.. bless:),Installation/demo,PRODUCT_ISSUE
good behaviour,,good behaviour,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Please solve matter,,Please solve matter,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
??,,??,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
??? ???? ????? ???,,??? ???? ????? ???,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good service executive,,Good service executive,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very nice,,Very nice,Return request,REFUND_REQUEST
Nice experience,,Nice experience,Return request,REFUND_REQUEST
Nothing,,Nothing,Invoice request,BILLING_PROBLEM
No solution for customer  query,,No solution for customer query,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks Vishal have a great day,,Thanks Vishal have a great day,General Enquiry,OTHER
Best service,,Best service,Refund Related Issues,REFUND_REQUEST
Excellent,,Excellent,Refund Enquiry,REFUND_REQUEST
Thank you for support,,Thank you for support,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
No additional feedback,,No additional feedback,Product Specific Information,PRODUCT_ISSUE
Good or bad,,Good or bad,Return request,REFUND_REQUEST
Good job,,Good job,e-Gift Voucher,PAYMENT_TRANSACTION_ISSUE
He's very cooperative and kind,,He's very cooperative and kind,Return request,REFUND_REQUEST
Very nice,,Very nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Poor delivery service,,Poor delivery service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
One side nit warning,,One side nit warning,Installation/demo,PRODUCT_ISSUE
Shopzilla logistics services needs to be improved.Worst service.,,Shopzilla logistics services needs to be improved.Worst service.,Delayed,DELIVERY_SHIPPING_PROBLEM
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good work..help karne ke leye TQ...plz meri cancelled request accept kare..or mera products muje send kare tq,,Good work..help karne ke leye TQ...plz meri cancelled request accept kare..or mera products muje send kare tq,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good thing happened ??,,Good thing happened ??,Delayed,DELIVERY_SHIPPING_PROBLEM
No issue,,No issue,Exchange / Replacement,PRODUCT_ISSUE
Improve time to solve issue of warranty claim,,Improve time to solve issue of warranty claim,Service Centres Related,SERVICE_QUALITY
Please provide orginal products,,Please provide orginal products,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
The product was damaged however according to the policies I neither got a refund nor got a replacement,,The product was damaged however according to the policies I neither got a refund nor got a replacement,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Introduce chat support,,Introduce chat support,Missing,PRODUCT_ISSUE
Very good,,Very good,Fraudulent User,SECURITY_CONCERN
I am happy with the customer care she was so polite thank you Shopzilla,,I am happy with the customer care she was so polite thank you Shopzilla,Return request,REFUND_REQUEST
Not good,,Not good,Installation/demo,PRODUCT_ISSUE
Good customer care staff,,Good customer care staff,Delayed,DELIVERY_SHIPPING_PROBLEM
Overall communication is good,,Overall communication is good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Return this used phone.,,Return this used phone.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Not solved my problem and very slow service,,Not solved my problem and very slow service,Service Centres Related,SERVICE_QUALITY
Keep it up,,Keep it up,Return request,REFUND_REQUEST
"Spoke with Executive.. He explained me very well.. Sorry I didn't remember his name but his name start with A something Sorry for inconvenience... but he solved my problems... he spoke in politely, keep going ??",,"Spoke with Executive.. He explained me very well.. Sorry I didn't remember his name but his name start with A something Sorry for inconvenience... but he solved my problems... he spoke in politely, keep going ??",Product Specific Information,PRODUCT_ISSUE
Good,,Good,Installation/demo,PRODUCT_ISSUE
Happy,,Happy,Delayed,DELIVERY_SHIPPING_PROBLEM
Very nice,,Very nice,Wrong,PRODUCT_ISSUE
My issue not resolve bye Shopzilla team.,,My issue not resolve bye Shopzilla team.,Installation/demo,PRODUCT_ISSUE
Customer care   se   connect Ho paye vaise koi suvidha kar dijiye,,Customer care se connect Ho paye vaise koi suvidha kar dijiye,Delayed,DELIVERY_SHIPPING_PROBLEM
Very good and polite person very knowledgeble,,Very good and polite person very knowledgeble,Fraudulent User,SECURITY_CONCERN
Only this agent try to understand my issue. I hope Shopzilla team will try to resolve my issue,,Only this agent try to understand my issue. I hope Shopzilla team will try to resolve my issue,Service Centres Related,SERVICE_QUALITY
Very good,,Very good,Return request,REFUND_REQUEST
Please reorder my cancel order,,Please reorder my cancel order,Product Specific Information,PRODUCT_ISSUE
Very helpfull,,Very helpfull,Fraudulent User,SECURITY_CONCERN
Thanks for quick response and politely conversation,,Thanks for quick response and politely conversation,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Problem Contect custmercare but problem is going solwe,,Problem Contect custmercare but problem is going solwe,Return request,REFUND_REQUEST
Great ??,,Great ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
He said that he raised return request for my product but he tell lie and there is no return request raised by him,,He said that he raised return request for my product but he tell lie and there is no return request raised by him,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
very good,,very good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
not available pin 127021 on grocery,,not available pin 127021 on grocery,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
I am happy to talk with Shopzilla executive,,I am happy to talk with Shopzilla executive,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am happy,,I am happy,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Staff batterBut delivery not be batter,,Staff batterBut delivery not be batter,Not Needed,REFUND_REQUEST
Nice experience to talk,,Nice experience to talk,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good service,,Good service,Return request,REFUND_REQUEST
Very good,,Very good,Product Specific Information,PRODUCT_ISSUE
Thank,,Thank,Fraudulent User,SECURITY_CONCERN
Very poor will complain,,Very poor will complain,Refund Enquiry,REFUND_REQUEST
Firstly do refund then take the order from costomerBecause one of my payment i don't get and it been 2 months also,,Firstly do refund then take the order from costomerBecause one of my payment i don't get and it been 2 months also,Refund Enquiry,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Not happy Shopzilla return policy,,Not happy Shopzilla return policy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am very happy,,I am very happy,Service Centres Related,SERVICE_QUALITY
My issue paylater bill not submited so i talk customer  suppprt nd my issue solve in just min thnx Shopzilla,,My issue paylater bill not submited so i talk customer suppprt nd my issue solve in just min thnx Shopzilla,General Enquiry,OTHER
The tone of his conversation was fine but I wanted to talk to the senior but the call could not be connected,,The tone of his conversation was fine but I wanted to talk to the senior but the call could not be connected,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nothing,,Nothing,Damaged,PRODUCT_ISSUE
Network issue,,Network issue,Installation/demo,PRODUCT_ISSUE
No,,No,Return request,REFUND_REQUEST
????? ?? ??? ????? ?????,,????? ?? ??? ????? ?????,Delayed,DELIVERY_SHIPPING_PROBLEM
Excellent,,Excellent,UnProfessional Behaviour,SERVICE_QUALITY
Goid,,Goid,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am offented for customer care executive,,I am offented for customer care executive,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks ??,,Thanks ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice customer support with easy explanation,,Nice customer support with easy explanation,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Jis medam ne baat kari unhone bhut ajche tarh se baat kari,,Jis medam ne baat kari unhone bhut ajche tarh se baat kari,Refund Related Issues,REFUND_REQUEST
Please make your policy more easier which takes less time,,Please make your policy more easier which takes less time,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I recently talk with Mr.  and he is very kind person. He solved my query and guide me politely. I m very happy to talk with him.Thank you   !! Thank you Shopzilla,,I recently talk with Mr. and he is very kind person. He solved my query and guide me politely. I m very happy to talk with him.Thank you !! Thank you Shopzilla,Customer Requested Modifications,DELIVERY_SHIPPING_PROBLEM
Provide complete detail about the sellers so that they can be reached.,,Provide complete detail about the sellers so that they can be reached.,Return request,REFUND_REQUEST
Unhappy with oder,,Unhappy with oder,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good customer service,,Good customer service,Not Needed,REFUND_REQUEST
Thanks,,Thanks,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very good,,Very good,Wrong,PRODUCT_ISSUE
Nice to talk to your customer executive.,,Nice to talk to your customer executive.,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Please timley update all query,,Please timley update all query,Return request,REFUND_REQUEST
C,,C,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Miss behaviour,,Miss behaviour,UnProfessional Behaviour,SERVICE_QUALITY
Not sort,,Not sort,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks Shopzilla ??,,Thanks Shopzilla ??,Fraudulent User,SECURITY_CONCERN
